name|price|URL|description
Casual Hoodie|39.99|/images/clothes/casualHoodie.jpg|80% Cotton 20% Polyester, a relaxed-fit hoodie crafted from a soft cotton blend, perfect for everyday comfort.
Checkered Tee|24.99|/images/clothes/checkeredTee.jpg|Soft and breathable, this tee features a classic checkered pattern, ideal for casual wear.
Graphic Tee|22.99|/images/clothes/graphicTee.jpg|Made from 100% cotton, this graphic tee features bold designs and is great for an edgy look.
Sweater|44.99|/images/clothes/sweater.jpg|A cozy sweater made of wool and acrylic, offering warmth without compromising style.
Floral Dress|59.99|/images/clothes/floralDress.jpg|A light, flowy dress with a beautiful floral print, perfect for spring and summer outings.
Party Dress|79.99|/images/clothes/partyDress.jpg|An elegant dress with shimmering fabric, perfect for formal events or a night out.
Denim Jacket|64.99|/images/clothes/denim.jpg|A timeless wardrobe staple made of durable denim, featuring a relaxed fit for casual layering.
Creme Trench Coat|89.99|/images/clothes/cremeTrenchCoat.jpg|A classic trench coat in creme color, made of cotton and polyester, perfect for layering on colder days.
Jacket|54.99|/images/clothes/jacket.jpg|A versatile jacket that blends function with style, ideal for casual or semi-formal occasions.
Office Blazer|69.99|/images/clothes/officeBlazer.jpg|A tailored blazer in a professional fit, perfect for office wear or formal gatherings.
Track Suit|49.99|/images/clothes/athleteOutfit.jpg|A sporty track suit made from lightweight, breathable fabric, perfect for workouts or casual wear.
Preppy Sweater|45.99|/images/clothes/preppy.jpg|A preppy sweater with a V-neckline, made from a cotton blend for a refined and comfortable look.